DATE	TIME	BOROUGH	ZIP CODE	LATITUDE	LONGITUDE	LOCATION	ON STREET NAME	CROSS STREET NAME	OFF STREET NAME	NUMBER OF PERSONS INJURED	NUMBER OF PERSONS KILLED	NUMBER OF PEDESTRIANS INJURED	NUMBER OF PEDESTRIANS KILLED	NUMBER OF CYCLIST INJURED	NUMBER OF CYCLIST KILLED	NUMBER OF MOTORIST INJURED	NUMBER OF MOTORIST KILLED	CONTRIBUTING FACTOR VEHICLE 1	CONTRIBUTING FACTOR VEHICLE 2	CONTRIBUTING FACTOR VEHICLE 3	CONTRIBUTING FACTOR VEHICLE 4	CONTRIBUTING FACTOR VEHICLE 5	UNIQUE KEY	VEHICLE TYPE CODE 1	VEHICLE TYPE CODE 2	VEHICLE TYPE CODE 3	VEHICLE TYPE CODE 4	VEHICLE TYPE CODE 5
03/12/2017	11:21	MANHATTAN	10030	40.817844	-73.94185	(40.817844, -73.94185)	7 AVENUE                        	WEST 139 STREET		0	0	0	0	0	0	0	0	Unspecified	Unspecified				3631011	TAXI	SPORT UTILITY / STATION WAGON			
03/12/2017	11:25	BROOKLYN	11219	40.632103	-73.99335	(40.632103, -73.99335)			1350      53 STREET                     	0	0	0	0	0	0	0	0	Driver Inattention/Distraction	Unspecified				3630513	SPORT UTILITY / STATION WAGON	SPORT UTILITY / STATION WAGON			
03/12/2017	11:28	BROOKLYN	11204	40.632095	-73.98273	(40.632095, -73.98273)			1639      46 STREET                     	0	0	0	0	0	0	0	0	Driver Inattention/Distraction	Unspecified				3630518	SPORT UTILITY / STATION WAGON				
03/12/2017	11:30	BROOKLYN	11219	40.63426	-73.98934	(40.63426, -73.98934)	48 STREET                       	14 AVENUE		0	0	0	0	0	0	0	0	Driver Inattention/Distraction	Unspecified				3630516	SPORT UTILITY / STATION WAGON	PASSENGER VEHICLE			
03/12/2017	11:30			40.72337	-73.8483	(40.72337, -73.8483)	QUEENS BOULEVARD                			0	0	0	0	0	0	0	0	Following Too Closely	Unspecified	Unspecified			3630174	PICK-UP TRUCK	PASSENGER VEHICLE	SPORT UTILITY / STATION WAGON		
03/12/2017	11:30	QUEENS	11420	40.679253	-73.81871	(40.679253, -73.81871)	LINDEN BOULEVARD                	121 STREET		1	0	0	0	0	0	1	0	Traffic Control Disregarded	Unspecified	Unspecified	Unspecified		3631096	PASSENGER VEHICLE	SPORT UTILITY / STATION WAGON	PASSENGER VEHICLE	SPORT UTILITY / STATION WAGON	
03/12/2017	11:35			40.77077	-73.91727	(40.77077, -73.91727)	31 STREET                       			0	0	0	0	0	0	0	0	Driver Inattention/Distraction	Unspecified				3630933	SPORT UTILITY / STATION WAGON	SPORT UTILITY / STATION WAGON			
03/12/2017	11:45	BRONX	10463	40.88437	-73.90105	(40.88437, -73.90105)	WEST 237 STREET                 	BROADWAY		0	0	0	0	0	0	0	0	View Obstructed/Limited	Unspecified				3630237	SPORT UTILITY / STATION WAGON	SPORT UTILITY / STATION WAGON			
03/12/2017	11:45	MANHATTAN	10033	40.8442	-73.93566	(40.8442, -73.93566)	WEST 174 STREET                 	AUDUBON AVENUE		0	0	0	0	0	0	0	0	Driver Inattention/Distraction	Unspecified				3630735	PASSENGER VEHICLE	PASSENGER VEHICLE			
03/12/2017	11:47	BROOKLYN	11220	40.64592	-74.02384	(40.64592, -74.02384)	1 AVENUE                        	58 STREET		0	0	0	0	0	0	0	0	Unspecified	Unspecified				3630236	PASSENGER VEHICLE				
